unique_id,Title,Air_date,TP_min,Rating,Votes
182, Tskhra mtas iqit,2015,112,6.7,49
184," Liza, go on",2023,120,5.7,50
185, Smiling Georgia,2023,62,7.2,50
186, Golden Thread,2019,90,7.3,51
187, Stay with Me,2011,79,5.0,51
188, Tbilisuri Love Story,2009,77,5.3,52
190, The Knight in Tiger's Skin,2022,108,7.3,54
191, The Chair,2017,97,6.1,56
192, Nina,2023,110,5.4,57
195, The Parts,2013,90,6.7,57
196, The Forgotten King,2014,110,7.7,59
197, Gogita's New Life,2016,74,8.3,60
200, Samotkhis gvritebi,1997,60,8.6,63
201, Pig,2019,80,7.5,64
202, Everybody's Gone,2013,115,6.5,64
203, Panopticon,2024,95,8.0,65
204, Lotto,2023,84,6.9,65
205, A Long Break,2022,110,6.6,66
206, Datuna: Portrait of America,2015,77,8.9,66
207, I Am Truly a Drop of Sun on Earth,2017,61,6.0,67
208, Arsena Jorjiashvili,1921,50,5.9,69
209, Judgement Night,2017,109,7.8,70
210, Parade,2018,87,7.0,70
211, Ormagi sakhe,1996,84,8.0,70
212, Taxi,2014,107,7.4,73
213, Seagull,2012,100,7.3,73
214, Light Falls,2023,95,6.1,74
215, My Dad's Girlfriend,2011,102,5.0,75
217, Holy Electricity,2024,104,7.3,78
218, Criminals,2015,75,7.0,78
219, Like Cotton Twines,2016,96,7.8,79
220, Women from Georgia,2009,54,7.0,80
222, Glory to the Queen,2020,82,7.4,82
226, The Summer of Frozen Fountains,2015,103,7.0,86
227, The Adventures of Ano & Vano,2011,105,6.8,89
229, Mediator,2008,92,8.1,93
230, Rac kvelaze dzalian gikvars 2,2009,112,6.7,94
232, Chomu ya zhyvyy,2021,120,7.2,96
233, Let the Summer Never Come Again,2017,202,6.2,99
234, Don't Breathe,2014,86,6.4,101
235, Inhale-Exhale,2019,91,6.2,101
236, Black Diamond,2010,101,7.5,102
237, Idiotocratia,2008,115,7.1,104
238, I'm Beso,2014,91,7.0,105
239," Bebia, à mon seul désir",2021,113,6.4,107
240, The Last Fortress: Hacibey,2020,100,5.8,110
241, Anna's Life,2016,108,6.7,111
243, I Will Die Without You,2010,100,7.6,112
245, When the Earth Seems to Be Light,2015,76,7.4,113
246, Neighbors,2018,90,7.8,115
247, Citizen Saint,2023,100,7.4,116
248, Chuzhaya molitva,2017,100,7.6,116
249, Tbilisi-Tbilisi,2005,87,7.3,117
250, Horizonti,2018,105,6.9,117
251, Chama da Sex,2011,85,6.2,120
253, Line of Credit,2014,125,6.7,121
254, Raving riot,2019,62,7.2,125
255, Rene Goes to Hollywood,2010,103,6.5,130
256, Maita Nasosi,2010,90,5.1,138
257, Sahä,2010,118,6.7,138
258, The Dazzling Light of Sunset,2016,74,6.2,140
259, The Criminal Man,2019,135,5.6,147
260, Rac kvelaze dzalian gikvars,2008,112,6.9,148
261, Bo,2022,120,6.5,151
263, Otar's Death,2021,107,6.7,155
264, Brides,2014,94,7.0,156
266, The Narrow Bridge,2022,80,7.3,159
268, Koma,2013,90,7.6,165
269, Ertkhel Shua Qalaqshi,2011,90,6.3,174
270, Moira,2015,95,7.0,176
271, Bekleyis,2021,67,6.3,177
272, Kvelaferi kargad iqneba,2009,94,6.1,183
273, The Rainbowmaker,2008,90,6.2,183
274, Rusuli samkudhedi,2007,121,6.7,191
275, Susa,2010,75,6.5,194
276, Tba,1998,87,7.3,197
277, A Fold in My Blanket,2013,73,5.3,199
278, Russian Lessons,2010,110,7.8,201
279, SeaZone,2010,106,5.2,204
280, Janapar,2012,79,7.0,208
281, Khibula,2017,97,5.5,212
282, Power Trip,2003,86,7.3,231
283, Midioda matarebeli,2005,77,6.4,232
285, Gondola,2023,82,6.7,235
286, Negative Numbers,2019,110,7.3,242
287," Tbilisi, I Love You",2014,93,6.4,246
288, House of Others,2016,103,6.2,261
289, The Confession,2017,89,6.3,261
290, Lost in Karastan,2014,96,5.1,273
291, Dzma,2014,94,6.7,275
292, Anton,2019,102,6.7,279
293, Namme,2017,91,7.3,280
294, April,2024,134,6.3,281
295, The Redemption of General Butt Naked,2011,85,7.4,293
296, Gzaabneulni,2013,80,7.9,297
298, Comets,2019,70,6.0,302
299, City of the Sun,2017,104,7.0,314
300, Iavnana,1994,75,7.8,315
301, Sami Sakhli,2009,96,7.6,334
302, Paradzhanov,2013,95,6.7,337
303, The Conflict Zone,2009,82,8.1,360
304, Pelada,2010,90,7.5,362
305, Winter Song,2015,117,6.2,364
306, Brigands,1996,129,7.0,371
307, Tea,2017,72,7.2,375
308, SAZ- the Key of Trust,2018,90,8.4,386
309, A Room of My Own,2022,107,6.2,389
310, Chantrapas,2010,122,6.2,393
311, Lyubov s aktsentom,2012,100,5.4,418
313, Apocalypse Will Not Happen,2015,79,8.5,512
315, Mama's Heart Gongadze,2017,77,7.7,549
316, Bolo gaseirneba,2012,93,7.7,573
317, Scary Mother,2017,107,6.8,602
318, Blind Dates,2013,99,7.1,624
319, Keep Smiling,2012,90,7.1,624
320, The Other Me,2022,108,4.2,698
321, The Machine Which Makes Everything Disappear,2012,97,8.1,701
322," Poverty, Inc",2014,94,7.6,734
323, Wet Sand,2021,115,7.0,755
324, Taming the Garden,2021,91,6.9,755
325, L'héritage,2006,75,6.9,768
327, A Chef in Love,1996,100,6.6,842
328, Shindisi,2019,101,7.3,943
329, SlingShot,2014,88,7.7,952
330, A Trip to Karabakh,2005,105,7.8,997
331, Brighton 4th,2021,90,6.8,1000
332, Dede,2017,97,6.9,1100
333, Street Days,2010,89,7.7,1300
334, Gagma napiri,2009,90,7.7,1400
335, Blackbird Blackbird Blackberry,2023,110,7.0,1400
336, 27 Missing Kisses,2000,98,6.6,1500
337, Sun of the Sleepless,1992,123,8.4,1700
338, Tatami,2023,105,7.5,1800
339, Let It Snow,2020,87,4.4,1900
340, The President,2014,119,7.3,1900
341, Memories of the Wind,2015,124,7.0,1900
342, Hostages,2017,103,6.1,2100
343, What Do We See When We Look at the Sky?,2021,150,6.8,2200
344, Beginning,2020,130,6.6,2500
346, Depuis qu'Otar est parti,2003,103,7.5,2700
347, Ekvtime: Man of God,2018,132,7.3,2800
349, Girls of the Sun,2018,115,6.5,2900
350, The Search,2014,135,6.8,3000
351, Crossing,2024,106,7.5,3600
352, My Happy Family,2017,120,7.4,4300
353, Corn Island,2014,100,7.4,4700
354, Zana,2019,97,7.1,4800
355, Landmine Goes Click,2015,105,5.8,6800
356, 247°F,2011,88,4.8,7000
357, In Bloom,2013,102,7.3,7200
358, 5 Days of War,2011,113,5.5,14000
359, And Then We Danced,2019,113,7.6,15000
360, Tangerines,2013,87,8.1,50000
